"Date","SessionStart","ScanStart","Type","Observer","Recorder","DeviceName","Group","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","scan_timeStamp"
2020-03-02,"15:22:48","15:24:54","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TIN",NA,NA,NA,0.2135593,-0.3559322,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:54","2020-03-02,15:24:54"
2020-03-02,"15:22:48","15:24:54","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TEN",NA,NA,NA,0.1016949,-0.4677966,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:54","2020-03-02,15:24:54"
2020-03-02,"15:22:48","15:24:54","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TOT",NA,NA,NA,-1.830508,0.3254237,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:54","2020-03-02,15:24:54"
2020-03-02,"15:22:48","15:25:43","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TOT","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:25:43","2020-03-02,15:25:43"
2020-03-02,"15:22:48","15:25:43","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TIN",NA,NA,NA,-1.850847,-0.2237288,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:25:43","2020-03-02,15:25:43"
2020-03-02,"15:22:48","15:25:43","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","THO",NA,NA,NA,-1.59661,-0.03050847,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:25:43","2020-03-02,15:25:43"
2020-03-02,"15:22:48","15:25:43","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TEN",NA,NA,NA,-1.911864,-0.3661017,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:25:43","2020-03-02,15:25:43"
2020-03-02,"15:22:48","15:26:32","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","26 - 50% Visible","TER","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:26:32","2020-03-02,15:26:32"
2020-03-02,"15:22:48","15:28:36","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TEV","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:28:36","2020-03-02,15:28:36"
2020-03-02,"15:22:48","15:28:36","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TAB",NA,NA,NA,-1.586441,-0.2237288,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:28:36","2020-03-02,15:28:36"
2020-03-02,"15:22:48","15:28:57","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TAB","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:28:57","2020-03-02,15:28:57"
2020-03-02,"15:22:48","15:28:57","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TEV",NA,NA,NA,-1.667797,-0.2237288,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:28:57","2020-03-02,15:28:57"
2020-03-02,"15:22:48","15:29:16","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TEL","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:29:16","2020-03-02,15:29:16"
2020-03-02,"15:22:48","15:29:16","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TOT",NA,NA,NA,-2.949152,-0.4067796,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:29:16","2020-03-02,15:29:16"
2020-03-02,"15:22:48","15:29:41","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TIC","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:29:41","2020-03-02,15:29:41"
2020-03-02,"15:22:48","15:29:57","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TIO","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:29:57","2020-03-02,15:29:57"
2020-03-02,"15:22:48","15:31:40","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","TES","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:31:40","2020-03-02,15:31:40"
2020-03-02,"15:22:48","15:31:40","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","51 - 75% Visible","THO",NA,NA,NA,0.3050847,0.1016949,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:31:40","2020-03-02,15:31:40"
2020-03-02,"15:22:48","15:32:48","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Traveling - Tree","25% or less Visible","TAM","TRAVEL","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:32:48","2020-03-02,15:32:48"
2020-03-02,"16:19:52","16:35:11","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","25% or less Visible","TET","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,16:19:52",NA,"2020-03-02,16:35:11","2020-03-02,16:35:11"
2020-03-06,"06:55:32","06:55:51","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","THI","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:55:51","2020-03-06,06:55:51"
2020-03-06,"06:55:32","06:56:53","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TES","REST",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:56:53","2020-03-06,06:56:53"
2020-03-06,"06:55:32","06:56:53","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TET",NA,NA,NA,-0.8542373,0.04067796,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:56:53","2020-03-06,06:56:53"
2020-03-06,"06:55:32","06:56:53","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","THI",NA,NA,NA,-0.08135593,2.19661,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:56:53","2020-03-06,06:56:53"
2020-03-06,"06:55:32","06:57:13","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TET","SELF-DIRECTED","Grooming",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:57:13","2020-03-06,06:57:13"
2020-03-06,"06:55:32","06:57:13","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TES",NA,NA,NA,-0.7322034,-0.04067796,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:57:13","2020-03-06,06:57:13"
2020-03-06,"06:55:32","06:57:13","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","THI",NA,NA,NA,0.04067796,2.094915,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,06:57:13","2020-03-06,06:57:13"
2020-03-06,"06:55:32","07:04:46","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TOT","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,07:04:46","2020-03-06,07:04:46"
2020-03-06,"06:55:32","07:10:36","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TRU","FEED",NA,NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,07:10:36","2020-03-06,07:10:36"
2020-03-06,"06:55:32","07:10:36","group scan","Kerensa","Kerensa","Diana","T","Resting","25% or less Visible","TEL",NA,NA,NA,-2.135593,4.901695,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-06,06:55:32",NA,"2020-03-06,07:10:36","2020-03-06,07:10:36"
