"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:47","TUA","Leave","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:49","TES","Leave","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:51","TIG","Leave","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:54","TAN","Ignore","TAN","Twitter",NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:48:59","TAN","Approach","TOT",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:49:02","TAN","Approach","TUA",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:49:04","TAN","Approach","TES",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:49:06","TAN","Approach","TIG",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:49:08","TAN","Social State","TAN",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:49:27","TAN","Leave","TOT",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-23,"05:15:54","09:46:04","09:50:16","abort","Juan Carlos","Juan Carlos","Miravalles","T","TAN","09:49:29","TAN","Leave","TUA",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-23,05:15:54",NA,"2021-06-23,09:46:04","2021-06-23,09:50:16"
2021-06-24,"08:00:52","10:34:53","10:42:10","abort","Juan Carlos;Missy;Other","Juan Carlos","Miravalles","T","TOR","10:35:14","TOR","Foraging State","TOR",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-24,08:00:52",NA,"2021-06-24,10:34:53","2021-06-24,10:42:10"
2021-06-24,"08:00:52","10:34:53","10:42:10","abort","Juan Carlos;Missy;Other","Juan Carlos","Miravalles","T","TOR","10:35:19","TOR","Scratch","TOR",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-24,08:00:52",NA,"2021-06-24,10:34:53","2021-06-24,10:42:10"
2021-06-24,"08:00:52","10:34:53","10:42:10","abort","Juan Carlos;Missy;Other","Juan Carlos","Miravalles","T","TOR","10:36:29","TOR","Eat","TOR",NA,NA,NA,NA,"Animal",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-24,08:00:52",NA,"2021-06-24,10:34:53","2021-06-24,10:42:10"
2021-06-24,"08:00:52","10:34:53","10:42:10","abort","Juan Carlos;Missy;Other","Juan Carlos","Miravalles","T","TOR","10:36:40","TOR","Eat","TOR",NA,NA,NA,NA,"Animal",NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-24,08:00:52",NA,"2021-06-24,10:34:53","2021-06-24,10:42:10"
2021-06-24,"08:00:52","10:34:53","10:42:10","abort","Juan Carlos;Missy;Other","Juan Carlos","Miravalles","T","TOR","10:37:41","TOR","Scratch","TOR",NA,NA,NA,NA,NA,NA,"39FF7BB5-6159-4FC5-B05B-3DB10706BC43","v3.3","v3.9","2021-06-24,08:00:52",NA,"2021-06-24,10:34:53","2021-06-24,10:42:10"
